comp_name,score,avg_placement,top1_rate,top4_rate,pick_rate,difficulty,popularity,pickcard_level,hero_name,position,main_items,other_recommendation_items,core,trait,positioning,Extra_items,Prerequisites,Other_descriptions,early_game,mid_game
賽博霸主 維迦,81,2.54,33.82,86.65,1.07,Normal,Popular,6,波比,frontline,,,core,賽博霸主 4,前排放置波比、希瓦娜、艾克、妮可跟魔鬥凱薩，柯布柯入場後放第二排。後排維迦為主C位，希格斯為副C,多餘魔功裝備給布蘭德，多餘坦裝給魔鬥凱薩或是希瓦娜,此陣先決條件：拿到賽博霸主專屬強化 or 有維迦裝備 or 增幅選擇到繁星夜空/烏龍商店,在六等時，卡著50塊利息抽出三星維迦，最晚4-2要抽到三星,"波比, 維迦, 艾克, 魔鬥凱薩","波比, 維迦, 艾克, 魔鬥凱薩, 希格斯, 妮可"
,,,,,,,,,艾克,frontline,,,core,戰略軍師 3,,,,,,
,,,,,,,,,維迦(3★),backline,"藍BUFF, 納什之牙","海克斯科技槍刃, 寶石手套, 巨人殺手",carry,技師 4,,,,,,
,,,,,,,,,希瓦娜,frontline,,,core,堡壘衛士 2,,,,,,
,,,,,,,,,魔鬥凱薩,frontline,,,core,蠻勇鬥士 2,,,,,,
,,,,,,,,,布蘭德,backline,,,core,街頭狂魔 3,,,,,,
,,,,,,,,,柯布柯,frontline,"日炎斗篷, 離子星火","石像鬼磐核, 好戰者鎧甲, 竊賊手套",tank,,,,,,,
,,,,,,,,,妮可,frontline,"日炎斗篷, 離子星火","石像鬼磐核, 好戰者鎧甲, 竊賊手套",tank,,,,,,,
,,,,,,,,,希格斯,backline,"精進之矛, 寶石手套","破防者, 巨人殺手",secondary,,,,,,,
,,,,,,,,,,,,,,,,,,,,
先鋒戰士 汎,72,3.19,21.02,76.19,1.32,Normal,Popular,6,賽勒斯,frontline,,,core,主宰 1,前排放置勒哈斯特、嘉文四世、雷歐娜、劫跟賽勒斯，雷尼克頓入場後放第四排吃姍娜。後排汎為主C位,多餘物功裝備給雷尼克頓，多餘坦裝給勒哈斯特或是五費卡,此陣先決條件：前期先鋒角色多 or 鬼索開局 or 增幅選擇到五級颶風,在六等時，卡著50塊利息抽出三星汎，最晚4-2要抽到三星,汎、賽勒斯、勒哈斯特、菲艾,汎、賽勒斯、勒哈斯特、菲艾、嘉文四世、姍娜、劫
,,,,,,,,,汎(3★),backline,"鬼索的狂暴之刃, 鬼索的狂暴之刃","鬼索的狂暴之刃, 瑞蘭颶風箭, 無盡之刃",carry,神諭集團 3,,,,,,
,,,,,,,,,勒哈斯特,frontline,,,core,先鋒戰士 4,,,,,,
,,,,,,,,,姍娜,backline,,,core,殺戮者 4,,,,,,
,,,,,,,,,嘉文四世,frontline,"日炎斗篷, 贖罪神石","均等法衣, 好戰者鎧甲",tank,百獸特攻隊 3,,,,,,
,,,,,,,,,劫,frontline,"無盡之刃, 夜色緣界","正義手套, 嗜血者",secondary,,,,,,,
,,,,,,,,,雷歐娜,frontline,"日炎斗篷, 贖罪神石","均等法衣, 好戰者鎧甲",tank,,,,,,,
,,,,,,,,,雷尼克頓,backline,,,flex,,,,,,,
,,,,,,,,,,,,,,,,,,,,
街頭狂魔 布蘭德,87,3.43,18.17,71.96,1,Normal,Popular,8,枷蘿,frontline,,,core,街頭狂魔 7,前排放置艾克、雷葛爾、妮可、柯布柯和蒙多醫生。後排布蘭德為主C位，希格斯、煞蜜拉為副C,多餘魔功裝備給希格斯，多餘坦裝給柯布柯或，多餘物功裝備給煞蜜拉,此陣先決條件：魔功裝多,,枷蘿、蒙多醫生、艾克、雷格爾,枷蘿、蒙多醫生、艾克、雷格爾、妮可、布蘭德
,,,,,,,,,蒙多醫生,frontline,,,core,戰略軍師 3,,,,,,
,,,,,,,,,艾克,backline,,,core,技師 2,,,,,,
,,,,,,,,,雷葛爾,frontline,,,core,賽博霸主 2,,,,,,
,,,,,,,,,布蘭德,frontline,"適性神盔, 寶石手套, 破防者","精進之矛, 死亡之帽",carry,蠻勇鬥士 2,,,,,,
,,,,,,,,,希格斯,backline,"適性神盔, 寶石手套","精進之矛, 破防者, 史堤克彈簧刀",secondary,,,,,,,
,,,,,,,,,妮可,frontline,"日炎斗篷, 離子星火","石像鬼磐核, 好戰者鎧甲, 贖罪神石",tank,,,,,,,
,,,,,,,,,柯布柯,frontline,,,tank,,,,,,,
,,,,,,,,,煞蜜拉,backline,"無盡之刃, 最後耳語",正義手套,secondary,,,,,,,
,,,,,,,,,,,,,,,,,,,,
百獸特攻隊 剎雅,84,3.51,16.14,70.28,0.77,Normal,Popular,8,賽勒斯,frontline,,,core,主宰 1,前排放置雷尼克頓、伊羅旖、雷歐娜和賽勒斯，雷尼克頓入場後放第二排吃伊羅旖。後排剎雅為主C位，歐羅拉為副C,多餘魔功裝備給歐羅拉，多餘坦裝給伊羅旖或雷尼克頓，多餘物功裝備給雷尼克頓,此陣先決條件：前期3百獸順順玩,百獸推薦選擇：UwU炮、百獸地雷、機關槍、滅絕者,瑟菈芬、賽勒斯、伊羅旖、汎、悠咪,瑟菈芬、賽勒斯、伊羅旖、汎、悠咪、剎雅、雷歐娜
,,,,,,,,,汎,backline,,,core,神諭集團 1,,,,,,
,,,,,,,,,伊羅旖,frontline,,,core,先鋒戰士 2,,,,,,
,,,,,,,,,燼,backline,,,core,堡壘衛士 2,,,,,,
,,,,,,,,,悠咪,backline,,,core,百獸特攻隊 7,,,,,,
,,,,,,,,,剎雅,backline,"精進之矛, 無盡之刃","最後耳語, 巨人殺手, 破防者",carry,射手 2,,,,,,
,,,,,,,,,雷歐娜,frontline,"日炎斗篷, 好戰者鎧甲, 均等法衣","保衛者之誓, 贖罪神石, 龍之爪",tank,發電機 2,,,,,,
,,,,,,,,,雷尼克頓,frontline,"嗜血者, 泰坦的決意",,secondary, ,,,,,,
,,,,,,,,,歐羅拉,backline,"精進之矛, 寶石手套","史堤克彈簧刀, 黑魔禁書",secondary,,,,,,,
,,,,,,,,,,,,,,,,,,,,
殺戮者 薩科,57,4.05,10.44,59.51,1.31,Easy,Popular,5,薩科(3★),frontline,"無盡之刃, 夜色緣界、嗜血者",正義手套,carry,殺戮者 6,前排放置布朗姆、薩科、嘉文四世、劫、達瑞斯、蒙多醫生。前排薩科為主C位，劫、姍娜/汎為副C,多餘物功裝備給雷尼克頓/姍娜/汎，多餘坦裝給布朗姆。優先製作好薩科和劫的裝備，多餘再給姍娜或是（三星）汎,此陣先決條件：2-2前就有2星薩科並且有物功裝備,在五等時，卡著50塊利息抽出三星薩科，最晚3-7要抽到三星,薩科、蒙多醫生、達瑞斯、布朗姆,薩科、蒙多醫生、達瑞斯、布朗姆、姍娜、嘉文四世、劫
,,,,,,,,,蒙多醫生,frontline,,,core,神諭集團 1,,,,,,
,,,,,,,,,汎,backline,"鬼索的狂暴之刃, 鬼索的狂暴之刃","鬼索的狂暴之刃, 瑞蘭颶風箭, 無盡之刃",secondary,先鋒戰士 2,,,,,,
,,,,,,,,,達瑞斯,frontline,,,core,罪惡集團 3,,,,,,
,,,,,,,,,布朗姆,frontline,"適性神盔, 石像鬼磐核",,core,蠻勇鬥士 2,,,,,,
,,,,,,,,,姍娜,backline,"最後耳語, 紅Buff","鬼索的狂暴之刃, 瑞蘭颶風箭, 無盡之刃",secondary,,,,,,,
,,,,,,,,,嘉文四世,frontline,"適性神盔, 日炎斗篷","石像鬼磐核, 好戰者鎧甲, 贖罪神石",core,,,,,,,
,,,,,,,,,劫,frontline,"無盡之刃, 夜色緣界、嗜血者",正義手套,secondary,,,,,,,
,,,,,,,,,雷尼克頓,frontline,,,core,,,,,,,
,,,,,,,,,,,,,,,,,,,,
極限科技 婕莉,81,3.33,16.25,75.34,0.37,Normal,Popular,8,賈克斯,frontline,,,core,殺戮者 6,前排放置賈克斯、柯布柯、魔鬥凱薩、娜菲芮、史瓦妮。後排婕莉為主C位，燼為副C,多餘物功裝備給燼，多餘坦裝給魔鬥凱薩、加里歐、柯布柯，多魔功裝就給柯布柯,此陣先決條件：有脈衝穩定器、或是湧動電容器就可以玩,,賈克斯、娜菲芮、燼、魔鬥凱薩,賈克斯、娜菲芮、燼、魔鬥凱薩、法洛士、婕莉
,,,,,,,,,鏡爪,backline,,,core,神諭集團 1,,,,,,
,,,,,,,,,燼,backline,"最後耳語, 無盡之刃",精進之矛、超頻利牙,secondary,先鋒戰士 2,,,,,,
,,,,,,,,,娜菲芮,frontline,,,core,罪惡集團 3,,,,,,
,,,,,,,,,法洛士,backline,,,core,蠻勇鬥士 2,,,,,,
,,,,,,,,,魔鬥凱薩,frontline,"日炎斗篷, 均等法衣",賽博繩索,tank,,,,,,,
,,,,,,,,,史瓦妮,frontline,"保衛者之誓, 贖罪神石","龍之爪, 懸浮燈籠, 破損機身",tank,,,,,,,
,,,,,,,,,婕莉,backline,"鬼索的狂暴之刃, 鬼索的狂暴之刃","脈衝穩定器, 湧動電容器, 海克斯科技槍刃",carry,,,,,,,
,,,,,,,,,柯布柯,frontline,,,core,,,,,,,
,,,,,,,,,,,,,,,,,,,,
罪惡集團 逆命,63,3.9,9.24,64.4,0.53,Easy,Popular,6,薩科,frontline,,,core,罪惡集團 5,前排放置布朗姆、勒哈斯特（寇格魔 後排）、古拉格斯（史加納）、達瑞斯、薩科。後排逆命為主C位，好運姐為副C,多餘物功裝備給好運姐，多餘坦裝給布朗姆。優先製作好逆命裝備再來坦裝、再來好運姐,此陣先決條件：前期逆命、達瑞斯多 or 裝備適合（反曲弓、巨型魔棒）,勒哈斯特、古拉格斯可替換成寇格魔以及史加納，在六等時，卡著50塊利息抽出三星逆命，最晚4-3要抽到三星,薩科、達瑞斯、逆命、勒哈斯特,薩科、達瑞斯、逆命、勒哈斯特、古拉格斯、布朗姆
,,,,,,,,,達瑞斯(3★),frontline,,,core,先鋒戰士 2,,,,,,
,,,,,,,,,逆命(3★),backline,"鬼索的狂暴之刃, 鬼索的狂暴之刃","海克斯科技槍刃, 寶石手套, 死亡之帽",carry,神諭集團 2,,,,,,
,,,,,,,,,勒哈斯特,frontline,,,core,速射 2,,,,,,
,,,,,,,,,達瑞斯,frontline,"日炎斗篷, 好戰者鎧甲, 石像鬼鎧甲","保衛者之誓, 龍之爪",tank,蠻勇鬥士 2,,,,,,
,,,,,,,,,古拉格斯,frontline,,,core,,,,,,,
,,,,,,,,,布朗姆,frontline,,,core,,,,,,,
,,,,,,,,,好運姐,backline,"精進之矛, 無盡之刃","最後耳語, 巨人殺手, 破防者",secondary,,,,,,,
,,,,,,,,,婕莉,backline,,,core,,,,,,,
,,,,,,,,,,,,,,,,,,,,
極限科技 薇可絲,78,3.19,17.2,78.12,1.94,Normal,Popular,8,賈克斯,frontline,,,core,極限科技 5,前排放置賈克斯、古拉格斯、史瓦妮、魔鬥凱薩。後排薇可絲為主C位，法洛士、歐羅拉為副C,多餘魔功裝備給歐羅拉，多餘坦裝給魔鬥凱薩、古拉格斯。,此陣先決條件：前兩項極限科技裝備有 超頻利牙，前期有薇可絲裝備,極限科技過度，上8等後找四費角色,賈克斯、娜菲芮、燼、魔鬥凱薩,魔甘納、燼、法洛士、魔鬥凱薩、賈克斯、古拉格斯
,,,,,,,,,魔甘娜,backline,,,core,堡壘衛士 2,,,,,,
,,,,,,,,,燼,backline,,,core,神諭集團 3,,,,,,
,,,,,,,,,古拉格斯,frontline,,,core,發電機 3,,,,,,
,,,,,,,,,法洛士,backline,"超頻利牙, 紅BUFF, 史堤克彈簧刀",,secondary,蠻勇鬥士 2,,,,,,
,,,,,,,,,魔鬥凱薩,frontline,"破損機身, 離子星火, 日炎斗篷","懸浮燈籠,賽博繩索, 好戰者鎧甲",tank,處刑者 2,,,,,,
,,,,,,,,,史瓦妮,frontline,"保衛者之誓, 好戰者鎧甲, 贖罪神石","破損機身, 懸浮燈籠,賽博繩索",tank,,,,,,,
,,,,,,,,,薇可絲,backline,"藍BUFF, 海克斯科技槍刃, 破防者",寶石手套,carry,,,,,,,
,,,,,,,,,歐羅拉,backline,,,secondary,,,,,,,
,,,,,,,,,,,,,,,,,,,,
A.M.P 妮可,81,3.31,20.30,73.67,0.87,Normal,Popular,8,奈德麗,frontline,,,core,A.M.P 5,前排放置娜菲芮、艾克、妮可、奈德麗。後排安妮為主C位，希格斯、煞蜜拉為副C,多餘物功裝備給煞蜜拉，多餘魔功裝備給悠咪、希格斯，多餘坦裝給三星角色。,此陣先決條件：前期裝備 水滴、魔功裝備夠多,可以用爆燃戰隊或是蠻勇鬥士過度，上8等後找四費角色,娜菲芮、奈德麗、希瓦納、鏡爪,娜菲芮、艾克、勒布朗、奈德麗、悠咪、安妮
,,,,,,,,,艾克,frontline,,,core,戰略軍師 5,,,,,,
,,,,,,,,,娜菲芮,frontline,,,carry,街頭狂魔 3,,,,,,
,,,,,,,,,勒布朗,backline,,,core,,,,,,,
,,,,,,,,,悠咪,backline,"精進之矛, 寶石手套",,secondary,,,,,,,
,,,,,,,,,安妮,backline,"藍BUFF, 精進之矛, 納什之牙","寶石手套, 死亡之帽",carry,,,,,,,
,,,,,,,,,希格斯,backline,"精進之矛, 寶石手套, 紅BUFF",,core,,,,,,,
,,,,,,,,,妮可,frontline,"好戰者鎧甲, 離子星火, 石像鬼盤核",保衛者之誓,tank,,,,,,,
,,,,,,,,,煞蜜拉,backline,"無盡之刃, 最後耳語",,secondary,,,,,,,
,,,,,,,,,,,,,,,,,,,,
末日機器人 烏爾加特,90,3.15,25.67,75.37,0.39,Hard,Popular,9,寇格魔,backline,,,core,末日機器人 6,前排放置古拉格斯、史加納、科加斯、柯布柯、魔鬥凱薩、費德提克。後排烏爾加特為主C位，薇可絲為副C,多餘物功裝備給寇格魔，多餘坦裝給柯布柯、魔鬥凱薩。,此陣先決條件：必須要有末日機器人徽章、末日機器人英雄多,前期連敗或是連勝存利息，盡可能升等，上等級找牌,寇格魔、史加納、費德提克、魔鬥凱薩,寇格魔、史加納、費德提克、魔鬥凱薩、古拉格斯、科加斯
,,,,,,,,,史加納,frontline,,,core,處刑者 2,,,,,,
,,,,,,,,,古拉格斯,frontline,,,core,神諭集團 2,,,,,,
,,,,,,,,,費德提克,frontline,,,core,技師 2,,,,,,
,,,,,,,,,魔鬥凱薩,frontline,,,core,蠻勇鬥士 4,,,,,,
,,,,,,,,,科加斯,frontline,"好戰者鎧甲, 贖罪神石, 石像鬼盤核",日炎斗篷,tank,,,,,,,
,,,,,,,,,薇可絲,backline,"藍BUFF, 海克斯科技槍刃,末日機器人徽章",,secondary,,,,,,,
,,,,,,,,,柯布柯,frontline,竊賊手套,,tank,,,,,,,
,,,,,,,,,烏爾加特,backline,"鬼索的狂暴之刃, 死神之刃, 巨人殺手",,carry,,,,,,,
,,,,,,,,,,,,,,,,,,,,
A.M.P 娜菲芮,78,2.25,42.45,90.23,0.18,Normal,,6,奈德麗,frontline,,,core,A.M.P 5,前排放置賈克斯、史瓦妮、奈德麗、艾克、妮可、娜菲芮，前排娜菲芮為主C位。後排安妮為副C位,多餘物功裝備給煞蜜拉，多餘魔功裝備給悠咪、安妮，多餘坦裝給三星角色。,此陣先決條件：極限科技第一件裝備必須是 超頻利牙，娜菲芮張數多,在六等時，卡著50塊利息抽出三星娜菲芮，最晚4-2要抽到三星,娜菲芮、奈德麗、魔鬥凱薩、賈克斯,娜菲芮、艾克、賈克斯、奈德麗、悠咪、史瓦妮、安妮
,,,,,,,,,艾克,frontline,,,core,戰略軍師 3,,,,,,
,,,,,,,,,娜菲芮,frontline,"無盡之刃, 夜色緣界, 超頻利牙","嗜血者, 正義手套, 泰坦的決意",carry,街頭狂魔 3,,,,,,
,,,,,,,,,賈克斯,frontline,,,core,堡壘衛士 3,,,,,,
,,,,,,,,,悠咪,backline,,,core,極限科技 3,,,,,,
,,,,,,,,,安妮,backline,"藍BUFF, 精進之矛, 納什之牙",寶石手套,secondary,,,,,,,
,,,,,,,,,史瓦妮,frontline,"日炎斗篷, 均等法衣, 保衛者之誓",好戰者鎧甲,tank,,,,,,,
,,,,,,,,,妮可,frontline,"好戰者鎧甲, 離子星火, 石像鬼盤核",保衛者之誓,tank,,,,,,,
,,,,,,,,,煞蜜拉,backline,"無盡之刃, 最後耳語",正義手套,secondary,,,,,,,
,,,,,,,,,,,,,,,,,,,,
神諭集團 薇可絲,90,3.27,21.18,74.09,0.34,Normal,,8,魔甘娜,backline,,,core,末日機器人 2,前排放置勒哈斯特、嘉文四世、科加斯、古拉格斯。後排薇可絲為主C位，烏爾加特、雷尼克頓為副C,多餘物功裝備給烏爾加特、雷尼克頓、，多餘坦裝給嘉文四世或古拉格斯,此陣先決條件：魔功裝多,雷尼克頓放在姍娜的斜上方，吃掉姍娜,勒哈斯特、魔甘娜、古拉格斯、姍娜,勒哈斯特、魔甘娜、古拉格斯、姍娜、嘉文四世、薇可絲
,,,,,,,,,勒哈斯特,frontline,,,core,神諭集團 6,,,,,,
,,,,,,,,,古拉格斯,frontline,,,core,主宰 1,,,,,,
,,,,,,,,,姍娜,backline,,,core,先鋒戰士 2,,,,,,
,,,,,,,,,嘉文四世,frontline,,,tank,處刑者 2,,,,,,
,,,,,,,,,科加斯,frontline,"日炎斗篷, 贖罪神石, 離子星火","好戰者鎧甲, 石像鬼盤核",tank,蠻勇鬥士 2,,,,,,
,,,,,,,,,薇可絲,backline,"藍BUFF, 海克斯科技槍刃, 破防者",寶石手套,carry,殺戮者 2,,,,,,
,,,,,,,,,烏爾加特,backline,"鬼索的狂暴之刃, 死神之刃, 巨人殺手",,secondary,,,,,,,
,,,,,,,,,雷尼克頓,backline,"嗜血者, 夜色緣界",,secondary,,,,,,,
